data,selic_meta,debt_dbgg,ibc_br,ipca,selic_efetiva,unemployment,usd_brl,selic_next,target,ipca_pct1,ipca_pct3,ibc_br_pct1,ibc_br_pct3,debt_dbgg_pct1,debt_dbgg_pct3,usd_brl_pct1,usd_brl_pct3,unemployment_pct1,unemployment_pct3,ipca_ma3,ipca_std3,ibc_br_ma3,ibc_br_std3,usd_brl_ma3,usd_brl_std3,selic_meta_lag1,selic_meta_lag3,ipca_lag1,ipca_lag3,ibc_br_lag1,ibc_br_lag3,unemployment_lag1,unemployment_lag3,usd_brl_lag1,usd_brl_lag3
2017-12-01,7.0,41.24,95.47513,0.44,0.54,11.9,3.29131,6.9,0,0.5714285714285714,1.75,0.006154209322998039,0.009789364412628121,0.004628501827040221,0.007327796775769446,0.009996210185854393,0.05013097482922224,-0.016528925619834656,-0.04799999999999993,0.38000000000000006,0.08717797887081495,95.29234333333333,0.3478997903612392,3.246894365079365,0.051369821671781446,7.4,8.35,0.28,0.16,94.89115,94.54955,12.1,12.5,3.258735,3.13419
2018-01-01,6.9,41.6,92.89115,0.29,0.58,12.3,3.2099863636363635,6.72,0,-0.34090909090909094,-0.30952380952380953,-0.027064430286714458,-0.027427279128265702,0.008729388942773975,0.022615535889872307,-0.024708592130074813,0.006064074903118888,0.03361344537815136,0.0,0.33666666666666667,0.08962886439832655,94.41914333333334,1.3551128661972445,3.2533437878787885,0.04092899136252294,7.0,8.01,0.44,0.42,95.47513,95.51075,11.9,12.3,3.29131,3.190638095238095
2018-02-01,6.72,41.73,91.1643,0.32,0.47,12.7,3.2409055555555555,6.58,0,0.10344827586206917,0.1428571428571428,-0.018590037909962387,-0.03927500088259017,0.0031249999999998224,0.016565164433617552,0.009632187933710012,-0.00547127779474077,0.03252032520325199,0.04958677685950419,0.35000000000000003,0.07937253933193944,93.17685999999999,2.169570573938506,3.2474006397306394,0.0410490322258956,6.9,7.4,0.29,0.28,92.89115,94.89115,12.3,12.1,3.2099863636363635,3.258735
2018-03-01,6.58,41.73,99.29946,0.09,0.53,13.2,3.2786142857142857,6.4,0,-0.71875,-0.7954545454545454,0.08923624708356237,0.04005577159203666,0.0,0.011881668283220126,0.011635244999376848,-0.0038573438192435194,0.03937007874015741,0.10924369747899143,0.23333333333333336,0.12503332889007493,94.45163666666667,4.286204152164631,3.243168734968735,0.034369891009076614,6.72,7.0,0.32,0.44,91.1643,95.47513,12.7,11.9,3.2409055555555555,3.29131
2018-04-01,6.4,41.02,97.46344,0.22,0.52,13.0,3.4069,6.4,0,1.4444444444444446,-0.2413793103448275,-0.01848972794011161,0.04922201953576866,-0.017014138509465426,-0.013942307692307643,0.039128028827509764,0.06134407254632923,-0.015151515151515138,0.05691056910569103,0.21,0.11532562594670935,95.97573333333332,4.266750566992814,3.3088066137566137,0.08701851182976494,6.58,6.9,0.09,0.29,99.29946,92.89115,13.2,12.3,3.2786142857142857,3.2099863636363635
2018-05-01,6.4,40.38,92.76504,0.4,0.52,12.8,3.635461904761905,6.4,0,0.8181818181818183,0.25,-0.04820679426049401,0.01755884704868027,-0.015602145294978054,-0.03235082674334999,0.06708794057997158,0.12174262484446707,-0.01538461538461533,0.007874015748031704,0.23666666666666666,0.15567059238447592,96.50931333333334,3.3700785534069597,3.440325396825397,0.18075673893299438,6.4,6.72,0.22,0.32,97.46344,91.1643,13.0,12.7,3.4069,3.2409055555555555
2018-06-01,6.4,40.48,96.02945,1.26,0.52,12.6,3.7725714285714287,6.4,0,2.15,13.0,0.03519008885243835,-0.03293079337994387,0.0024764735017333006,-0.029954469206805667,0.03771447133854733,0.15066033995198325,-0.01562500000000011,-0.045454545454545414,0.6266666666666666,0.5558177159225257,95.41931,2.40789197322058,3.6049777777777776,0.18473185950684465,6.4,6.58,0.4,0.09,92.76504,99.29946,12.8,13.2,3.635461904761905,3.2786142857142857
2018-07-01,6.4,41.21,98.9147,0.33,0.54,12.4,3.828136363636363,6.4,0,-0.7380952380952381,0.5,0.030045470425999588,0.014890301429951514,0.01803359683794481,0.004631886884446601,0.01472866349040225,0.12364212734050395,-0.015873015873015817,-0.0461538461538461,0.6633333333333334,0.5179124765183143,95.90306333333332,3.0767774896851883,3.745389898989899,0.09917151021556606,6.4,6.4,1.26,0.22,96.02945,97.46344,12.6,13.0,3.7725714285714287,3.4069
2018-08-01,6.4,39.99,100.53236,-0.09,0.57,12.2,3.9291565217391295,6.4,0,-1.2727272727272727,-1.225,0.016354090949070255,0.08373111249669063,-0.02960446493569524,-0.009658246656760738,0.026388860925217195,0.08078605268632555,-0.016129032258064613,-0.04687500000000011,0.5,0.6908690179766351,98.49216999999999,2.280997220011583,3.8432881046489737,0.07938453433994895,6.4,6.4,0.33,0.4,98.9147,92.76504,12.4,12.8,3.828136363636363,3.635461904761905
2018-09-01,6.4,40.94,95.18664,0.48,0.47,12.0,4.115947368421053,6.4,0,-6.333333333333333,-0.6190476190476191,-0.05317412224282814,-0.008776578435052973,0.02375593898474615,0.011363636363636465,0.04753968075551396,0.09101906918158775,-0.016393442622950727,-0.04761904761904756,0.24,0.2954657340538837,98.21123333333333,2.741410146791952,3.9577467512655153,0.14602001416611732,6.4,6.4,-0.09,1.26,100.53236,96.02945,12.2,12.6,3.9291565217391295,3.7725714285714287
2018-10-01,6.4,42.18,98.20249,0.45,0.54,11.8,3.7578045454545457,6.4,0,-0.06249999999999989,0.36363636363636354,0.03168354298460363,-0.007200244250854526,0.03028822667318032,0.023537976219364154,-0.08701346030668433,-0.018372338783409714,-0.016666666666666607,-0.048387096774193505,0.27999999999999997,0.32078029864690927,97.97383,2.6801855581844527,3.9343028118715764,0.1791268646440324,6.4,6.4,0.48,0.33,95.18664,98.9147,12.0,12.4,4.115947368421053,3.828136363636363
2018-11-01,6.4,41.84,96.70515,-0.21,0.49,11.7,3.786015,6.4,0,-1.4666666666666666,1.3333333333333335,-0.015247474885820012,-0.03806943356348136,-0.008060692271218528,0.04626156539134785,0.007507163878328393,-0.036430598004217996,-0.008474576271186529,-0.040983606557377095,0.24,0.39000000000000046,96.69809333333335,1.5079373836581074,3.886588971291866,0.19913039242332853,6.4,6.4,0.45,-0.09,98.20249,100.53236,11.8,12.2,3.7578045454545457,3.9291565217391295
2018-12-01,6.4,42.29,95.81656,0.15,0.49,11.7,3.884405,6.4,0,-1.7142857142857144,-0.6875,-0.009188652310657797,0.006617735430098248,0.010755258126194933,0.03297508549096251,0.025987747011039453,-0.05625493906883372,0.0,-0.025000000000000022,0.12999999999999998,0.3304542328371668,96.90806666666667,1.2058386589563668,3.8094081818181817,0.06646314384276374,6.4,6.4,-0.21,0.48,96.70515,95.18664,11.7,12.0,3.786015,4.115947368421053
2019-01-01,6.4,42.89,93.83484,0.32,0.54,12.2,3.7410545454545456,6.4,0,1.1333333333333333,-0.28888888888888886,-0.02068243735738373,-0.0444759598254586,0.014187751241428348,0.01683262209577996,-0.03690409587709176,-0.0044573898927928735,0.042735042735042805,0.03389830508474567,0.08666666666666666,0.2706165799305981,95.45218333333332,1.4694378654551934,3.8038248484848487,0.07331596846450408,6.4,6.4,0.15,0.45,95.81656,98.20249,11.7,11.8,3.884405,3.7578045454545457
2019-02-01,6.4,43.06,93.99179,0.43,0.49,12.5,3.723025,6.4,0,0.34375,-3.0476190476190474,0.0016726196794281112,-0.028058071364348347,0.003963627885287924,0.029158699808795374,-0.00481937518832809,-0.01663754633830028,0.024590163934426368,0.06837606837606836,0.3,0.14106735979666,94.54773,1.1016376456440085,3.782828181818182,0.0884288053819689,6.4,6.4,0.32,-0.21,93.83484,96.70515,12.2,11.7,3.7410545454545456,3.786015
2019-03-01,6.4,42.6,97.46638,0.75,0.47,12.8,3.845884210526316,6.4,0,0.7441860465116279,4.0,0.036966952113583584,0.017218526734835926,-0.010682768230376283,0.007330338141404713,0.03299983495311376,-0.009916779911900098,0.02400000000000002,0.09401709401709413,0.5,0.2233830790368872,95.09767,2.0528635180401396,3.7699879186602874,0.06634343574601471,6.4,6.4,0.43,0.15,93.99179,95.81656,12.5,11.7,3.723025,3.884405
2019-04-01,6.4,42.6,97.86378,0.57,0.52,12.6,3.895557142857143,6.4,0,-0.2400000000000001,0.7812499999999998,0.004077303373737795,0.04293650418117623,0.0,-0.006761482863138268,0.012915867876331477,0.04129921002897996,-0.01562500000000011,0.032786885245901676,0.5833333333333333,0.1604161255402133,96.44065,2.130062948529996,3.821488784461153,0.08881546987657145,6.4,6.4,0.75,0.32,97.46638,93.83484,12.8,12.2,3.845884210526316,3.7410545454545456
2019-05-01,6.4,42.83,97.74518,0.13,0.54,12.4,4.000918181818182,6.4,0,-0.7719298245614035,-0.6976744186046511,-0.0012118886067961077,0.039933168631004934,0.0053990610328638056,-0.005341384115188252,0.027046462186860243,0.07464177162876484,-0.015873015873015817,-0.008000000000000007,0.4833333333333332,0.3189566323708186,97.69178000000001,0.20401068599566333,3.914119845067214,0.07916636595573733,6.4,6.4,0.57,0.43,97.86378,93.99179,12.6,12.5,3.895557142857143,3.723025
2019-06-01,6.4,43.52,94.72148,0.01,0.47,12.1,3.8582263157894734,6.4,0,-0.9230769230769231,-0.9866666666666667,-0.030934517691818764,-0.028162531531385482,0.016110203128648193,0.021596244131455444,-0.03566477981908234,0.003209172348292988,-0.024193548387096864,-0.05468750000000011,0.2366666666666666,0.29484459183328027,96.77681333333334,1.7809584002254746,3.918233880154933,0.07399944573133337,6.4,6.4,0.13,0.75,97.74518,97.46638,12.4,12.8,4.000918181818182,3.845884210526316
